"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1"
0,000;0,46;
0,010;0,46;-0,19
0,020;0,45;-0,23
0,030;0,45;-0,27
0,040;0,45;-0,31
0,050;0,44;-0,37
0,060;0,44;-0,42
0,070;0,44;-0,48
0,080;0,43;-0,52
0,090;0,43;-0,55
0,100;0,42;-0,58
0,110;0,41;-0,60
0,120;0,41;-0,63
0,130;0,40;0,02
0,140;0,39;0,86
0,150;0,43;0,61
0,160;0,43;-0,81
0,170;0,40;-2,04
0,180;0,37;-1,87
0,190;0,36;-1,07
0,200;0,36;-0,69
0,210;0,35;-0,73
0,220;0,34;-0,82
0,230;0,33;-0,81
0,240;0,33;-0,66
0,250;0,32;-0,59
0,260;0,32;-0,55
0,270;0,31;-0,52
0,280;0,31;-0,49
0,290;0,30;-0,45
0,300;0,30;-0,41
0,310;0,29;-0,36
0,320;0,29;-0,31
0,330;0,29;-0,26
0,340;0,28;-0,22
0,350;0,28;-0,17
0,360;0,28;-0,12
0,370;0,28;-0,06
0,380;0,28;-0,01
0,390;0,28;0,04
0,400;0,28;0,10
0,410;0,28;0,15
0,420;0,28;0,20
0,430;0,28;0,24
0,440;0,29;0,29
0,450;0,29;0,34
0,460;0,29;0,38
0,470;0,30;0,42
0,480;0,30;0,46
0,490;0,31;0,50
0,500;0,31;0,54
0,510;0,32;0,57
0,520;0,32;0,59
0,530;0,33;0,62
0,540;0,34;0,64
0,550;0,34;0,66
0,560;0,35;0,70
0,570;0,36;0,74
0,580;0,36;0,74
0,590;0,37;0,71
0,600;0,38;0,68
0,610;0,39;0,64
0,620;0,39;0,59
0,630;0,40;0,56
0,640;0,40;0,57
0,650;0,41;0,58
0,660;0,41;0,57
0,670;0,42;0,54
0,680;0,43;0,51
0,690;0,43;0,47
0,700;0,43;0,43
0,710;0,44;0,39
0,720;0,44;0,35
0,730;0,45;0,31
0,740;0,45;0,26
0,750;0,45;0,21
0,760;0,45;0,16
0,770;0,45;0,11
0,780;0,46;0,06
0,790;0,46;0,01
0,800;0,46;-0,04
0,810;0,45;-0,09
0,820;0,45;-0,14
0,830;0,45;-0,19
0,840;0,45;-0,24
0,850;0,45;-0,29
0,860;0,44;-0,33
0,870;0,44;-0,38
0,880;0,44;-0,42
0,890;0,43;-0,46
0,900;0,43;-0,50
0,910;0,42;-0,53
0,920;0,42;-0,56
0,930;0,41;-0,59
0,940;0,40;-0,60
0,950;0,40;-0,62
0,960;0,39;-0,64
0,970;0,39;-0,65
0,980;0,38;-0,66
0,990;0,37;-0,67
1,000;0,37;-0,67
1,010;0,36;-0,66
1,020;0,35;-0,66
1,030;0,35;-0,64
1,040;0,34;-0,63
1,050;0,33;-0,60
1,060;0,33;-0,59
1,070;0,32;-0,56
1,080;0,32;-0,53
1,090;0,31;-0,50
1,100;0,31;-0,46
1,110;0,30;-0,42
1,120;0,30;-0,38
1,130;0,29;-0,33
1,140;0,29;-0,29
1,150;0,29;-0,25
1,160;0,29;-0,20
1,170;0,28;-0,15
1,180;0,28;-0,10
1,190;0,28;-0,05
1,200;0,28;0,00
1,210;0,28;0,05
1,220;0,28;0,10
1,230;0,28;0,15
1,240;0,29;0,20
1,250;0,29;0,25
1,260;0,29;0,29
1,270;0,29;0,34
1,280;0,30;0,38
1,290;0,30;0,42
1,300;0,31;0,45
1,310;0,31;0,49
1,320;0,32;0,52
1,330;0,32;0,55
1,340;0,33;0,58
1,350;0,33;0,60
1,360;0,34;0,62
1,370;0,35;0,63
1,380;0,35;0,64
1,390;0,36;0,65
1,400;0,36;0,65
1,410;0,37;0,65
1,420;0,38;0,64
1,430;0,38;0,63
1,440;0,39;0,62
1,450;0,40;0,60
1,460;0,40;0,58
1,470;0,41;0,56
1,480;0,41;0,54
1,490;0,42;0,51
1,500;0,42;0,48
1,510;0,43;0,45
1,520;0,43;0,41
1,530;0,44;0,37
1,540;0,44;0,33
1,550;0,44;0,28
1,560;0,45;0,24
1,570;0,45;0,19
1,580;0,45;0,15
1,590;0,45;0,10
1,600;0,45;0,06
1,610;0,45;0,03
1,620;0,45;-0,01
1,630;0,45;-0,07
1,640;0,45;-0,13
1,650;0,45;-0,18
1,660;0,45;-0,23
1,670;0,44;-0,27
1,680;0,44;-0,33
1,690;0,44;-0,38
1,700;0,43;-0,42
1,710;0,43;-0,47
1,720;0,43;-0,54
1,730;0,42;-0,59
1,740;0,41;-0,58
1,750;0,41;-0,54
1,760;0,40;-0,52
1,770;0,40;-0,55
1,780;0,39;-0,60
1,790;0,39;-0,64
1,800;0,38;-0,68
1,810;0,37;-0,70
1,820;0,36;-0,68
1,830;0,36;-0,65
1,840;0,35;-0,63
1,850;0,35;-0,61
1,860;0,34;-0,59
1,870;0,33;-0,57
1,880;0,33;-0,55
1,890;0,32;-0,52
1,900;0,32;-0,49
1,910;0,31;-0,46
1,920;0,31;-0,43
1,930;0,30;-0,39
1,940;0,30;-0,35
1,950;0,30;-0,31
1,960;0,29;-0,27
1,970;0,29;-0,22
1,980;0,29;-0,18
1,990;0,29;-0,13
2,000;0,29;-0,08
2,010;0,29;-0,04
2,020;0,29;0,01
2,030;0,29;0,06
2,040;0,29;0,11
2,050;0,29;0,16
2,060;0,29;0,21
2,070;0,29;0,25
2,080;0,30;0,29
