"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;0,09;;
0,010;0,09;0,13;
0,020;0,09;0,09;-4,06
0,030;0,09;0,05;-4,60
0,040;0,09;-2,27E-4;-4,87
0,050;0,09;-0,05;-4,92
0,060;0,09;-0,10;-4,92
0,070;0,09;-0,15;-4,98
0,080;0,09;-0,20;-4,95
0,090;0,08;-0,25;-4,80
0,100;0,08;-0,29;-4,66
0,110;0,08;-0,34;-4,53
0,120;0,07;-0,39;-4,29
0,130;0,07;-0,43;-4,04
0,140;0,07;-0,46;-3,90
0,150;0,06;-0,50;-3,78
0,160;0,06;-0,54;-3,45
0,170;0,05;-0,57;-3,01
0,180;0,04;-0,60;-2,71
0,190;0,04;-0,63;-2,52
0,200;0,03;-0,65;-2,29
0,210;0,03;-0,67;-2,00
0,220;0,02;-0,69;-1,72
0,230;0,01;-0,71;-1,30
0,240;0,00;-0,72;-0,66
0,250;0,00;-0,72;-0,20
0,260;-0,01;-0,72;-0,68
0,270;-0,02;-0,72;-1,25
0,280;-0,02;-0,76;-0,59
0,290;-0,03;-0,76;0,85
0,300;-0,04;-0,72;1,62
0,310;-0,05;-0,71;1,14
0,320;-0,05;-0,71;1,35
0,330;-0,06;-0,70;2,76
0,340;-0,07;-0,65;3,88
0,350;-0,07;-0,60;3,97
0,360;-0,08;-0,57;3,41
0,370;-0,09;-0,54;3,38
0,380;-0,09;-0,51;3,82
0,390;-0,10;-0,46;4,21
0,400;-0,10;-0,42;4,41
0,410;-0,10;-0,38;4,40
0,420;-0,11;-0,33;4,54
0,430;-0,11;-0,29;4,78
0,440;-0,11;-0,23;4,93
0,450;-0,12;-0,19;4,97
0,460;-0,12;-0,14;5,02
0,470;-0,12;-0,09;5,07
0,480;-0,12;-0,03;5,02
0,490;-0,12;0,01;4,96
0,500;-0,12;0,06;5,06
0,510;-0,12;0,11;5,16
0,520;-0,12;0,17;5,07
0,530;-0,11;0,22;4,87
0,540;-0,11;0,26;4,72
0,550;-0,11;0,31;4,63
0,560;-0,11;0,36;4,48
0,570;-0,10;0,40;4,38
0,580;-0,10;0,44;4,38
0,590;-0,09;0,49;4,32
0,600;-0,09;0,53;3,78
0,610;-0,08;0,57;3,31
0,620;-0,08;0,59;3,58
0,630;-0,07;0,63;4,09
0,640;-0,06;0,69;3,56
0,650;-0,06;0,72;1,54
0,660;-0,05;0,72;-0,18
0,670;-0,04;0,69;-0,42
0,680;-0,04;0,70;0,13
0,690;-0,03;0,71;0,40
0,700;-0,02;0,71;0,12
0,710;-0,01;0,71;-0,17
0,720;-0,01;0,71;-0,36
0,730;6,01E-5;0,70;-0,58
0,740;0,01;0,70;-0,95
0,750;0,01;0,69;-1,48
0,760;0,02;0,67;-1,97
0,770;0,03;0,64;-2,22
0,780;0,03;0,62;-2,31
0,790;0,04;0,60;-2,49
0,800;0,05;0,57;-2,81
0,810;0,05;0,54;-3,20
0,820;0,06;0,51;-3,51
0,830;0,06;0,47;-3,65
0,840;0,07;0,43;-3,74
0,850;0,07;0,40;-3,88
0,860;0,07;0,36;-4,12
0,870;0,08;0,31;-4,37
0,880;0,08;0,27;-4,49
0,890;0,08;0,22;-4,43
0,900;0,08;0,18;-4,42
0,910;0,09;0,14;-4,60
0,920;0,09;0,09;-4,90
0,930;0,09;0,04;-5,11
0,940;0,09;-0,01;-5,16
0,950;0,09;-0,07;-5,17
0,960;0,09;-0,12;-5,09
0,970;0,09;-0,17;-4,90
0,980;0,08;-0,22;-4,71
0,990;0,08;-0,26;-4,57
1,000;0,08;-0,31;-4,43
1,010;0,07;-0,35;-4,20
1,020;0,07;-0,39;-3,95
1,030;0,07;-0,43;-3,76
1,040;0,06;-0,47;-3,57
1,050;0,06;-0,50;-3,34
1,060;0,05;-0,53;-3,06
1,070;0,05;-0,56;-2,72
1,080;0,04;-0,59;-2,38
1,090;0,04;-0,61;-2,13
1,100;0,03;-0,63;-1,98
1,110;0,02;-0,65;-1,85
1,120;0,02;-0,67;-1,61
1,130;0,01;-0,68;-1,33
1,140;0,00;-0,69;-0,99
1,150;0,00;-0,70;-0,61
1,160;-0,01;-0,71;-0,22
1,170;-0,02;-0,71;0,12
1,180;-0,03;-0,70;0,36
1,190;-0,03;-0,70;0,70
1,200;-0,04;-0,69;1,03
1,210;-0,05;-0,68;1,36
1,220;-0,05;-0,66;1,82
1,230;-0,06;-0,65;1,94
1,240;-0,07;-0,62;1,61
1,250;-0,07;-0,61;1,20
1,260;-0,08;-0,60;2,03
1,270;-0,09;-0,58;4,18
1,280;-0,09;-0,52;5,71
1,290;-0,10;-0,44;5,67
1,300;-0,10;-0,40;4,72
1,310;-0,10;-0,36;4,30
1,320;-0,11;-0,32;4,54
1,330;-0,11;-0,27;4,74
1,340;-0,11;-0,22;4,79
1,350;-0,11;-0,17;4,78
1,360;-0,12;-0,13;4,87
1,370;-0,12;-0,08;5,01
1,380;-0,12;-0,03;5,11
1,390;-0,12;0,03;5,12
1,400;-0,12;0,08;4,97
1,410;-0,12;0,13;4,86
1,420;-0,11;0,17;4,91
1,430;-0,11;0,22;4,97
1,440;-0,11;0,28;4,79
1,450;-0,11;0,32;4,40
1,460;-0,10;0,36;4,10
1,470;-0,10;0,40;3,96
1,480;-0,09;0,44;3,82
1,490;-0,09;0,48;3,62
1,500;-0,09;0,51;3,48
1,510;-0,08;0,55;3,40
1,520;-0,07;0,58;3,13
1,530;-0,07;0,61;2,55
1,540;-0,06;0,63;2,06
1,550;-0,06;0,65;1,78
1,560;-0,05;0,67;2,08
1,570;-0,04;0,68;2,31
1,580;-0,03;0,72;2,01
1,590;-0,03;0,73;1,23
1,600;-0,02;0,74;0,01
1,610;-0,01;0,74;-0,67
1,620;-0,01;0,72;-1,16
1,630;0,00;0,72;-1,45
1,640;0,01;0,69;-1,73
1,650;0,02;0,68;-2,09
1,660;0,02;0,65;-2,05
1,670;0,03;0,63;-1,93
1,680;0,03;0,62;-2,04
1,690;0,04;0,60;-2,56
1,700;0,05;0,56;-3,16
1,710;0,05;0,53;-3,42
1,720;0,06;0,50;-3,46
1,730;0,06;0,46;-3,59
1,740;0,07;0,43;-3,83
1,750;0,07;0,39;-4,12
1,760;0,07;0,34;-4,37
1,770;0,08;0,30;-4,48
1,780;0,08;0,25;-4,47
1,790;0,08;0,21;-4,55
1,800;0,08;0,16;-4,80
1,810;0,09;0,11;-5,01
1,820;0,09;0,06;-5,02
1,830;0,09;0,01;-4,97
1,840;0,09;-0,04;-4,98
1,850;0,09;-0,09;-4,95
1,860;0,09;-0,14;-4,76
1,870;0,08;-0,18;-4,51
1,880;0,08;-0,23;-4,37
1,890;0,08;-0,27;-4,27
1,900;0,08;-0,31;-4,18
1,910;0,07;-0,35;-4,05
1,920;0,07;-0,39;-3,86
1,930;0,06;-0,43;-3,62
1,940;0,06;-0,47;-3,37
1,950;0,06;-0,50;-3,22
1,960;0,05;-0,53;-3,14
1,970;0,04;-0,56;-2,96
1,980;0,04;-0,59;-2,63
1,990;0,03;-0,62;-2,24
2,000;0,03;-0,64;-1,90
2,010;0,02;-0,65;-1,62
2,020;0,01;-0,67;-1,28
2,030;0,01;-0,68;-0,90
2,040;-1,05E-4;-0,69;-0,51
2,050;-0,01;-0,69;-0,21
2,060;-0,01;-0,69;-0,02
2,070;-0,02;-0,69;0,21
2,080;-0,03;-0,69;0,59
