"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;-0,01;;
0,010;-0,02;-0,16;
0,020;-0,02;-0,03;10,01
0,030;-0,02;0,04;3,97
0,040;-0,01;0,04;-0,75
0,050;-0,01;0,00;-2,85
0,060;-0,01;-0,04;-2,02
0,070;-0,02;-0,04;-0,09
0,080;-0,02;-0,03;1,08
0,090;-0,02;-0,01;0,79
0,100;-0,02;-0,01;-0,12
0,110;-0,02;-0,02;-0,52
0,120;-0,02;-0,03;-0,01
0,130;-0,02;-0,02;0,72
0,140;-0,02;-0,01;0,76
0,150;-0,02;4,70E-4;0,25
0,160;-0,02;-0,01;0,07
0,170;-0,02;-0,01;0,36
0,180;-0,02;0,01;0,62
0,190;-0,02;0,01;0,58
0,200;-0,02;0,01;0,48
0,210;-0,02;0,02;0,48
0,220;-0,02;0,03;0,44
0,230;-0,02;0,03;0,34
0,240;-0,02;0,03;0,29
0,250;-0,02;0,03;0,28
0,260;-0,01;0,04;0,33
0,270;-0,02;0,04;0,44
0,280;-0,01;0,05;0,35
0,290;-0,01;0,05;0,19
0,300;-0,01;0,05;0,18
0,310;-0,01;0,05;0,29
0,320;-0,01;0,06;0,31
0,330;-0,01;0,06;-0,03
0,340;-0,01;0,06;-0,24
0,350;-0,01;0,05;-0,20
0,360;-0,01;0,05;-0,10
0,370;-0,01;0,05;-0,08
0,380;-0,01;0,05;-0,32
0,390;-0,01;0,05;-0,48
0,400;-0,01;0,04;-0,48
0,410;-0,01;0,03;-0,43
0,420;-0,01;0,03;-0,47
0,430;-0,01;0,03;-0,63
0,440;-0,01;0,02;-0,55
0,450;-0,01;0,01;-0,29
0,460;-0,01;0,01;-0,27
0,470;-0,01;0,01;-0,52
0,480;-0,01;4,87E-4;-0,59
0,490;-0,01;-0,01;-0,33
0,500;-0,01;0,00;-0,35
0,510;-0,01;0,00;-0,80
0,520;-0,01;-0,02;-1,00
0,530;-0,01;-0,03;-0,48
0,540;-0,01;-0,03;0,19
0,550;-0,01;-0,02;0,24
0,560;-0,01;-0,02;-0,29
0,570;-0,01;-0,03;-0,85
0,580;-0,01;-0,04;-1,02
0,590;-0,01;-0,05;-0,84
0,600;-0,01;-0,06;-0,47
0,610;-0,01;-0,06;-0,03
0,620;-0,01;-0,06;0,32
0,630;-0,01;-0,05;0,49
0,640;-0,01;-0,05;0,36
0,650;-0,01;-0,05;0,06
0,660;-0,01;-0,05;-0,14
0,670;-0,01;-0,05;-0,15
0,680;-0,01;-0,05;-0,09
0,690;-0,01;-0,05;-0,15
0,700;-0,01;-0,05;-0,13
0,710;-0,02;-0,06;0,24
0,720;-0,02;-0,05;0,84
0,730;-0,02;-0,04;1,17
0,740;-0,02;-0,02;0,91
0,750;-0,02;-0,02;0,31
0,760;-0,02;-0,02;-0,06
0,770;-0,02;-0,02;0,06
0,780;-0,02;-0,02;0,46
0,790;-0,02;-0,01;0,68
0,800;-0,02;0,00;0,58
0,810;-0,02;-2,34E-4;0,48
0,820;-0,02;0,00;0,48
0,830;-0,02;0,01;0,48
0,840;-0,02;0,01;0,43
