"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;-0,02;;
0,010;-0,02;-0,07;
0,020;-0,02;-0,02;5,75
0,030;-0,02;0,05;3,59
0,040;-0,02;0,07;1,26
0,050;-0,02;0,06;-0,21
0,060;-0,02;0,04;0,02
0,070;-0,02;0,06;0,42
0,080;-0,01;0,07;-7,83E-4
0,090;-0,01;0,06;-0,62
0,100;-0,01;0,05;-0,60
0,110;-0,01;0,05;-0,22
0,120;-0,01;0,05;0,14
0,130;-0,01;0,05;0,22
0,140;-0,01;0,05;-0,12
0,150;-0,01;0,05;-0,47
0,160;-0,01;0,03;-0,63
0,170;-0,01;0,04;-0,50
0,180;-0,01;0,03;-0,20
0,190;-0,01;0,03;-0,08
0,200;-0,01;0,04;-0,26
0,210;-0,01;0,03;-0,59
0,220;-0,01;0,01;-0,41
0,230;-0,01;0,01;-0,02
0,240;-0,01;0,02;-0,33
0,250;-0,01;0,01;-0,98
0,260;-0,01;-0,01;-0,79
0,270;-0,01;-0,01;0,12
0,280;-0,01;0,00;0,49
0,290;-0,01;0,01;-0,17
0,300;-0,01;0,00;-1,01
0,310;-0,01;-0,02;-1,02
0,320;-0,01;-0,03;-0,25
0,330;-0,01;-0,02;0,52
0,340;-0,01;-0,01;0,62
0,350;-0,01;-0,01;0,10
0,360;-0,01;-0,01;-0,51
0,370;-0,01;-0,02;-0,78
0,380;-0,01;-0,03;-0,61
0,390;-0,01;-0,03;-0,14
0,400;-0,01;-0,03;0,41
0,410;-0,01;-0,02;0,68
0,420;-0,01;-0,01;0,55
0,430;-0,01;-0,01;0,25
0,440;-0,01;-0,01;0,09
0,450;-0,01;-0,01;0,18
0,460;-0,01;-0,01;0,38
0,470;-0,01;0,00;0,45
0,480;-0,01;0,00;0,26
0,490;-0,01;0,00;0,01
0,500;-0,01;0,00;-0,10
0,510;-0,01;0,00;-0,05
0,520;-0,01;0,00;0,00
0,530;-0,01;0,00;0,00
0,540;-0,01;0,00;-0,04
0,550;-0,01;2,40E-4;-0,14
0,560;-0,01;0,00;-0,16
0,570;-0,01;-0,01;0,03
0,580;-0,01;0,00;0,29
0,590;-0,01;0,00;0,31
0,600;-0,01;0,01;0,06
0,610;-0,01;0,00;-0,14
0,620;-0,01;0,00;-0,15
0,630;-0,01;0,00;-0,05
0,640;-0,01;0,00;-0,04
0,650;-0,01;2,40E-4;-0,18
0,660;-0,01;0,00;-0,37
0,670;-0,01;-0,01;-0,49
0,680;-0,01;-0,01;-0,39
0,690;-0,01;-0,02;-0,24
0,700;-0,01;-0,02;-0,23
0,710;-0,01;-0,02;-0,33
0,720;-0,01;-0,03;-0,35
0,730;-0,01;-0,03;-0,16
0,740;-0,01;-0,03;0,04
0,750;-0,01;-0,03;0,10
0,760;-0,01;-0,03;0,10
0,770;-0,01;-0,03;0,10
0,780;-0,01;-0,02;0,10
0,790;-0,01;-0,02;0,05
0,800;-0,01;-0,02;0,04
0,810;-0,01;-0,02;0,14
0,820;-0,01;-0,02;0,16
0,830;-0,02;-0,02;0,01
0,840;-0,02;-0,02;-0,14
0,850;-0,02;-0,02;-0,15
0,860;-0,02;-0,02;-0,06
0,870;-0,02;-0,02;0,07
0,880;-0,02;-0,02;0,35
0,890;-0,02;-0,02;0,76
0,900;-0,02;-0,01;0,85
0,910;-0,02;0,01;0,41
0,920;-0,02;0,00;0,07
0,930;-0,02;0,00;0,35
0,940;-0,02;0,01;0,82
0,950;-0,02;0,02;0,70
0,960;-0,02;0,03;0,29
0,970;-0,02;0,02;0,27
0,980;-0,02;0,03;0,43
0,990;-0,02;0,04;0,39
1,000;-0,01;0,03;0,23
1,010;-0,01;0,04;0,28
1,020;-0,01;0,04;0,35
1,030;-0,01;0,05;0,20
1,040;-0,01;0,05;0,09
1,050;-0,01;0,05;0,14
1,060;-0,01;0,05;0,20
1,070;-0,01;0,05;0,16
1,080;-0,01;0,05;-0,03
1,090;-0,01;0,05;-0,27
1,100;-0,01;0,05;-0,43
1,110;-0,01;0,04;-0,40
1,120;-0,01;0,04;-0,14
1,130;-0,01;0,04;-0,21
1,140;-0,01;0,04;-0,62
1,150;-0,01;0,02;-0,67
1,160;-0,01;0,01;-0,06
1,170;-0,01;0,03;0,12
1,180;-0,01;0,04;-0,79
1,190;-0,01;0,01;-1,19
1,200;-0,01;-0,02;-0,13
1,210;-0,01;0,01;0,97
1,220;-0,01;0,03;0,26
1,230;-0,01;0,02;-1,23
1,240;-0,01;-0,01;-1,51
1,250;-0,01;-0,02;-0,55
1,260;-0,01;-0,02;0,38
1,270;-0,01;-0,01;0,43
1,280;-0,01;-0,01;-0,13
1,290;-0,01;-0,01;-0,83
1,300;-0,01;-0,02;-1,21
1,310;-0,01;-0,04;-1,05
1,320;-0,01;-0,05;-0,52
1,330;-0,01;-0,05;-0,02
1,340;-0,01;-0,05;0,19
1,350;-0,01;-0,04;0,19
1,360;-0,01;-0,04;0,22
1,370;-0,01;-0,04;0,41
1,380;-0,01;-0,04;0,63
1,390;-0,01;-0,03;0,56
1,400;-0,01;-0,02;0,18
1,410;-0,01;-0,02;-0,31
1,420;-0,01;-0,03;-0,59
1,430;-0,01;-0,04;-0,43
1,440;-0,01;-0,04;0,14
1,450;-0,01;-0,04;0,84
1,460;-0,01;-0,02;1,17
1,470;-0,01;-0,01;0,96
1,480;-0,01;0,00;0,38
1,490;-0,01;4,75E-4;-0,18
1,500;-0,01;-0,01;-0,32
1,510;-0,01;-0,01;0,06
1,520;-0,01;-0,01;0,58
1,530;-0,01;0,01;0,57
1,540;-0,01;0,01;0,03
1,550;-0,01;0,00;-0,35
1,560;-0,01;0,00;-0,21
1,570;-0,01;-2,38E-4;0,09
1,580;-0,01;0,00;0,15
1,590;-0,01;0,00;0,09
1,600;-0,01;0,00;0,14
1,610;-0,01;0,01;0,24
1,620;-0,01;0,01;0,25
1,630;-0,01;0,01;0,16
1,640;-0,01;0,01;0,01
1,650;-0,01;0,01;-0,14
1,660;-0,01;0,01;-0,23
1,670;-0,01;0,01;-0,29
1,680;-0,01;0,00;-0,28
1,690;-0,01;2,38E-4;-0,33
1,700;-0,01;0,00;-0,43
1,710;-0,01;-0,01;-0,49
1,720;-0,01;-0,01;-0,36
1,730;-0,01;-0,02;-0,06
1,740;-0,01;-0,01;0,14
1,750;-0,01;-0,01;0,15
1,760;-0,01;-0,01;0,09
1,770;-0,01;-0,01;0,18
1,780;-0,01;-0,01;0,33
1,790;-0,01;0,00;0,35
1,800;-0,01;0,00;0,21
1,810;-0,01;0,00;0,01
1,820;-0,01;2,37E-4;-0,14
1,830;-0,01;0,00;-0,20
1,840;-0,01;-0,01;-0,11
1,850;-0,01;-0,01;0,05
1,860;-0,01;0,00;0,06
1,870;-0,01;0,00;-0,05
1,880;-0,01;-0,01;-0,02
1,890;-0,01;-0,01;0,22
1,900;-0,01;-4,74E-4;0,47
1,910;-0,01;0,01;0,57
1,920;-0,01;0,01;0,58
1,930;-0,01;0,02;0,53
1,940;-0,01;0,02;0,43
1,950;-0,01;0,03;0,43
1,960;-0,01;0,03;0,49
1,970;-0,01;0,04;0,40
1,980;-0,01;0,04;0,16
1,990;-0,01;0,04;5,57E-6
2,000;-0,01;0,04;3,94E-5
2,010;-0,01;0,04;0,00
2,020;-0,01;0,04;0,04
2,030;-0,01;0,04;0,14
2,040;-0,01;0,04;0,16
2,050;-0,01;0,04;0,01
2,060;-0,01;0,04;-0,14
2,070;-0,01;0,04;-0,23
2,080;-0,01;0,04;-0,29
2,090;-0,01;0,03;-0,19
2,100;-0,01;0,03;-0,16
2,110;-0,01;0,04;-0,51
2,120;-0,01;0,02;-0,74
2,130;-0,01;0,01;-0,41
2,140;-0,01;0,01;-0,02
2,150;-0,01;0,02;-0,34
2,160;-0,01;0,01;-0,93
2,170;-0,01;-0,01;-0,73
2,180;-0,01;-0,01;0,08
2,190;-0,01;-4,86E-4;0,39
2,200;-0,01;0,01;-0,26
2,210;-0,01;0,00;-1,21
2,220;-0,01;-0,02;-1,67
2,230;-0,01;-0,04;-1,24
2,240;-0,01;-0,06;-0,18
2,250;-0,01;-0,05;0,85
2,260;-0,01;-0,03;1,06
2,270;-0,01;-0,02;0,35
2,280;-0,01;-0,02;-0,41
2,290;-0,01;-0,03;-0,68
2,300;-0,01;-0,04;-0,58
2,310;-0,01;-0,04;-0,49
2,320;-0,01;-0,05;-0,40
2,330;-0,01;-0,05;-0,20
2,340;-0,01;-0,05;-0,09
2,350;-0,01;-0,05;-0,17
2,360;-0,01;-0,05;-0,47
2,370;-0,01;-0,06;-0,62
2,380;-0,01;-0,07;-0,05
2,390;-0,01;-0,07;1,21
2,400;-0,02;-0,05;2,27
2,410;-0,02;-0,01;2,06
2,420;-0,02;0,01;0,82
2,430;-0,02;9,43E-4;-0,44
2,440;-0,02;-0,01;-0,98
2,450;-0,02;-0,02;-0,70
2,460;-0,02;-0,03;0,21
2,470;-0,02;-0,02;1,19
2,480;-0,02;0,00;1,36
2,490;-0,02;0,02;0,53
2,500;-0,02;0,01;-0,22
2,510;-0,02;-7,07E-4;0,09
2,520;-0,02;0,01;0,78
2,530;-0,02;0,03;0,68
2,540;-0,02;0,03;-0,04
2,550;-0,02;0,02;-0,22
2,560;-0,02;0,02;0,18
2,570;-0,02;0,03;0,31
2,580;-0,01;0,03;0,01
2,590;-0,01;0,02;-0,11
2,600;-0,01;0,02;0,09
2,610;-0,01;0,03;0,15
2,620;-0,01;0,03;0,05
2,630;-0,01;0,03;3,22E-5
2,640;-0,01;0,03;0,01
2,650;-0,01;0,03;-0,13
2,660;-0,01;0,03;-0,33
2,670;-0,01;0,02;-0,34
2,680;-0,01;0,02;-0,24
2,690;-0,01;0,02;-0,23
2,700;-0,01;0,01;-0,37
2,710;-0,01;0,01;-0,49
2,720;-0,01;0,00;-0,39
2,730;-0,01;0,00;-0,24
2,740;-0,01;2,39E-4;-0,19
2,750;-0,01;0,00;-0,20
2,760;-0,01;-0,01;-0,11
2,770;-0,01;-0,01;0,09
2,780;-0,01;0,00;0,20
2,790;-0,01;0,00;0,15
2,800;-0,01;0,00;0,05
2,810;-0,01;0,00;0,00
2,820;-0,01;0,00;0,00
2,830;-0,01;0,00;0,00
2,840;-0,01;0,00;-0,04
2,850;-0,01;2,39E-4;-0,14
2,860;-0,01;0,00;-0,24
2,870;-0,01;-0,01;-0,25
2,880;-0,01;-0,01;-0,11
2,890;-0,01;-0,01;0,08
2,900;-0,01;-0,01;0,27
2,910;-0,01;0,00;0,42
2,920;-0,01;0,00;0,53
2,930;-0,01;0,01;0,53
2,940;-0,01;0,01;0,44
2,950;-0,01;0,02;0,34
2,960;-0,01;0,02;0,29
2,970;-0,01;0,02;0,29
2,980;-0,01;0,03;0,29
2,990;-0,01;0,03;0,25
3,000;-0,01;0,03;0,07
3,010;-0,01;0,03;-0,19
3,020;-0,01;0,03;-0,25
3,030;-0,01;0,02;-0,05
3,040;-0,01;0,03;0,02
3,050;-0,01;0,03;-0,27
3,060;-0,01;0,02;-0,54
3,070;-0,01;0,01;-0,36
3,080;-0,01;0,01;0,01
3,090;-0,01;0,02;-0,07
3,100;-0,01;0,02;-0,39
3,110;-0,01;0,00;-0,37
3,120;-0,01;0,00;0,05
3,130;-0,01;0,01;0,10
3,140;-0,01;0,01;-0,57
3,150;-0,01;0,00;-1,21
3,160;-0,01;-0,02;-1,04
3,170;-0,01;-0,03;-0,06
3,180;-0,01;-0,02;0,69
3,190;-0,01;-0,01;0,46
3,200;-0,01;0,00;-0,47
3,210;-0,01;-0,02;-1,24
3,220;-0,01;-0,04;-1,28
3,230;-0,01;-0,05;-0,80
3,240;-0,01;-0,05;-0,31
3,250;-0,01;-0,05;-0,02
3,260;-0,01;-0,05;0,18
3,270;-0,01;-0,05;0,37
3,280;-0,01;-0,04;0,49
3,290;-0,01;-0,04;0,36
3,300;-0,01;-0,03;0,07
3,310;-0,01;-0,04;-0,19
3,320;-0,01;-0,04;-0,25
3,330;-0,01;-0,04;-0,15
3,340;-0,01;-0,04;-0,07
3,350;-0,02;-0,04;-0,37
3,360;-0,02;-0,04;-1,13
3,370;-0,02;-0,06;-1,46
3,380;-0,02;-0,09;-0,07
3,390;-0,02;-0,08;2,66
3,400;-0,02;-0,03;4,23
3,410;-0,02;0,03;2,93
3,420;-0,02;0,05;-0,25
3,430;-0,02;0,02;-2,13
3,440;-0,02;-0,03;-1,27
3,450;-0,02;-0,02;0,95
3,460;-0,02;0,01;1,77
3,470;-0,02;0,04;0,50
3,480;-0,02;0,02;-0,44
3,490;-0,02;0,00;0,25
3,500;-0,02;0,02;1,36
3,510;-0,02;0,05;1,08
3,520;-0,02;0,05;0,08
3,530;-0,02;0,04;-0,31
3,540;-0,02;0,04;-0,03
3,550;-0,01;0,04;0,33
3,560;-0,02;0,05;0,40
3,570;-0,01;0,05;0,22
3,580;-0,01;0,05;-0,18
3,590;-0,01;0,05;-0,39
3,600;-0,01;0,04;-0,31
3,610;-0,01;0,04;-0,01
3,620;-0,01;0,04;0,16
3,630;-0,01;0,05;-0,02
3,640;-0,01;0,04;-0,33
3,650;-0,01;0,03;-0,44
3,660;-0,01;0,03;-0,33
3,670;-0,01;0,03;-0,33
3,680;-0,01;0,03;-0,34
3,690;-0,01;0,02;-0,24
3,700;-0,01;0,02;-0,22
3,710;-0,01;0,02;-0,46
3,720;-0,01;0,01;-0,72
3,730;-0,01;0,00;-0,68
3,740;-0,01;0,00;-0,49
3,750;-0,01;-0,01;-0,34
3,760;-0,01;-0,01;-0,29
3,770;-0,01;-0,01;-0,25
3,780;-0,01;-0,01;-0,11
3,790;-0,01;-0,01;0,09
3,800;-0,01;-0,01;0,20
3,810;-0,01;-0,01;0,11
3,820;-0,01;-0,01;-0,08
3,830;-0,01;-0,01;-0,28
3,840;-0,01;-0,01;-0,38
3,850;-0,01;-0,02;-0,39
3,860;-0,01;-0,02;-0,30
3,870;-0,01;-0,03;-0,11
3,880;-0,01;-0,03;0,04
3,890;-0,01;-0,02;0,10
3,900;-0,01;-0,02;0,09
3,910;-0,01;-0,02;0,18
3,920;-0,01;-0,02;0,37
3,930;-0,01;-0,01;0,48
3,940;-0,01;-0,01;0,43
3,950;-0,01;-0,01;0,38
3,960;-0,01;0,00;0,42
3,970;-0,01;0,00;0,53
3,980;-0,01;0,01;0,50
3,990;-0,01;0,01;0,26
4,000;-0,01;0,01;0,00
4,010;-0,01;0,01;-0,06
4,020;-0,01;0,01;0,05
4,030;-0,01;0,01;0,02
4,040;-0,01;0,01;-0,22
4,050;-0,01;0,01;-0,43
4,060;-0,01;0,00;-0,40
4,070;-0,01;0,00;-0,20
4,080;-0,01;0,00;-0,06
4,090;-0,01;0,00;0,04
4,100;-0,01;-2,40E-4;0,14
4,110;-0,01;0,00;0,21
4,120;-0,01;0,01;0,03
4,130;-0,01;0,01;-0,37
4,140;-0,01;0,00;-0,59
4,150;-0,01;-0,01;-0,41
4,160;-0,01;-0,01;-0,05
4,170;-0,01;-0,01;0,02
4,180;-0,01;-0,01;-0,26
4,190;-0,01;-0,01;-0,61
4,200;-0,01;-0,02;-0,78
4,210;-0,01;-0,03;-0,61
4,220;-0,01;-0,04;-0,14
4,230;-0,01;-0,04;0,37
4,240;-0,01;-0,03;0,59
4,250;-0,01;-0,02;0,38
4,260;-0,01;-0,02;-0,15
4,270;-0,01;-0,02;-0,70
4,280;-0,01;-0,03;-0,94
4,290;-0,01;-0,05;-0,62
4,300;-0,01;-0,05;4,36E-4
4,310;-0,02;-0,04;0,60
4,320;-0,02;-0,04;0,91
4,330;-0,02;-0,02;0,90
4,340;-0,02;-0,01;0,50
4,350;-0,02;-0,01;-0,40
4,360;-0,02;-0,02;-1,46
4,370;-0,02;-0,04;-1,31
4,380;-0,02;-0,07;0,73
4,390;-0,02;-0,04;3,14
4,400;-0,02;0,02;2,89
4,410;-0,02;0,06;0,16
4,420;-0,02;0,01;-1,40
4,430;-0,02;-0,02;-0,10
4,440;-0,02;0,01;1,32
4,450;-0,02;0,05;0,41
4,460;-0,02;0,02;-0,62
4,470;-0,02;-0,01;-0,09
4,480;-0,02;0,03;1,05
4,490;-0,02;0,04;1,10
4,500;-0,02;0,04;0,49
4,510;-0,02;0,05;0,34
4,520;-0,01;0,05;0,23
4,530;-0,01;0,05;0,28
4,540;-0,01;0,05;0,35
4,550;-0,01;0,06;0,15
4,560;-0,01;0,06;0,04
4,570;-0,01;0,05;0,11
4,580;-0,01;0,06;-0,01
4,590;-0,01;0,06;-0,45
4,600;-0,01;0,05;-0,84
4,610;-0,01;0,04;-0,56
4,620;-0,01;0,04;-0,09
4,630;-0,01;0,04;-0,16
