"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;-0,01;;
0,010;-0,01;-0,12;
0,020;-0,01;0,00;8,19
0,030;-0,01;0,05;2,22
0,040;-0,01;0,03;-1,05
0,050;-0,01;-0,01;-1,20
0,060;-0,01;-0,01;0,06
0,070;-0,01;0,01;0,56
0,080;-0,01;0,02;0,16
0,090;-0,01;0,01;-0,03
0,100;-0,01;0,00;0,33
0,110;-0,01;0,02;0,42
0,120;-0,01;0,02;-0,08
0,130;-0,01;0,01;-0,36
0,140;-0,01;0,01;-0,02
0,150;-0,01;0,01;0,27
0,160;-0,01;0,02;-0,07
0,170;-0,01;0,01;-0,45
0,180;-0,01;0,00;-0,26
0,190;-0,01;0,01;0,06
0,200;-0,01;0,01;-0,12
0,210;-0,01;0,01;-0,49
0,220;-0,01;-0,01;-0,42
0,230;-0,01;-0,01;0,05
0,240;-0,01;-2,41E-4;0,10
0,250;-0,01;0,00;-0,49
0,260;-0,01;-0,01;-0,94
0,270;-0,01;-0,03;-0,59
0,280;-0,01;-0,03;0,26
0,290;-0,01;-0,02;0,61
0,300;-0,01;-0,01;0,16
0,310;-0,01;-0,01;-0,59
0,320;-0,01;-0,02;-0,97
0,330;-0,01;-0,03;-0,80
0,340;-0,01;-0,04;-0,33
0,350;-0,01;-0,04;0,22
0,360;-0,01;-0,04;0,53
0,370;-0,01;-0,03;0,46
0,380;-0,01;-0,02;0,08
0,390;-0,01;-0,03;-0,28
0,400;-0,01;-0,03;-0,39
0,410;-0,01;-0,03;-0,35
0,420;-0,01;-0,04;-0,22
0,430;-0,02;-0,04;0,10
0,440;-0,02;-0,04;0,60
0,450;-0,02;-0,03;0,88
0,460;-0,02;-0,01;0,62
0,470;-0,02;-0,01;0,02
0,480;-0,02;-0,02;-0,27
0,490;-0,02;-0,02;0,05
0,500;-0,02;-0,02;0,65
0,510;-0,02;-0,01;0,88
0,520;-0,02;0,01;0,59
0,530;-0,02;0,01;0,33
0,540;-0,02;0,01;0,41
0,550;-0,02;0,01;0,63
0,560;-0,02;0,02;0,54
0,570;-0,02;0,03;0,34
0,580;-0,02;0,03;0,28
0,590;-0,02;0,03;0,33
0,600;-0,02;0,03;0,38
0,610;-0,02;0,04;0,39
0,620;-0,02;0,04;0,35
0,630;-0,01;0,05;0,16
0,640;-0,01;0,05;0,00
0,650;-0,01;0,04;0,04
0,660;-0,01;0,05;0,10
0,670;-0,01;0,05;0,02
0,680;-0,01;0,05;-0,19
0,690;-0,01;0,04;-0,24
0,700;-0,01;0,04;-0,19
0,710;-0,01;0,04;-0,19
0,720;-0,01;0,04;-0,23
0,730;-0,01;0,03;-0,33
0,740;-0,01;0,03;-0,39
0,750;-0,01;0,03;-0,35
0,760;-0,01;0,02;-0,19
0,770;-0,01;0,02;-0,21
0,780;-0,01;0,02;-0,56
0,790;-0,01;0,01;-0,74
