time;position;velocity;acceleration
1.0000;0.4209;0.7023;-0.4285
1.0100;0.4279;0.6916;-1.2235
1.0200;0.4348;0.6749;-1.7338
1.0300;0.4414;0.6550;-1.9935
1.0400;0.4479;0.6350;-1.7174
1.0500;0.4541;0.6119;-1.0089
1.0600;0.4602;0.6149;0.2861
1.0700;0.4659;0.6145;0.7937
1.0800;0.4731;0.6495;-2.1061
1.0900;0.4781;0.6249;-8.0165
1.1000;0.4869;0.4782;-12.8431
1.1100;0.4895;0.3049;-11.5075
1.1200;0.4903;0.1989;-6.0238
1.1300;0.4930;0.2137;-2.3234
1.1400;0.4955;0.2080;-2.5344
1.1500;0.4972;0.1565;-4.3085
1.1600;0.4985;0.1041;-4.9646
1.1700;0.4993;0.0591;-4.9599
1.1800;0.4997;0.0075;-5.0031
1.1900;0.4996;-0.0445;-5.0735
1.2000;0.4986;-0.0925;-5.3146
1.2100;0.4977;-0.1454;-5.9665
1.2200;0.4961;-0.2106;-6.5029
1.2300;0.4934;-0.2844;-6.2873
1.2400;0.4902;-0.3436;-5.5035
1.2500;0.4865;-0.3896;-4.7825
1.2600;0.4824;-0.4356;-4.8329
1.2700;0.4778;-0.4793;-5.3491
1.2800;0.4727;-0.5438;-5.3200
1.2900;0.4674;-0.6024;-4.0091
1.3000;0.4602;-0.6318;-1.9156
1.3100;0.4542;-0.6319;-0.7469
1.3200;0.4480;-0.6292;-0.8975
1.3300;0.4417;-0.6498;-1.4449
1.3400;0.4350;-0.6678;-1.4645
1.3500;0.4283;-0.6800;-0.9044
1.3600;0.4214;-0.6868;-0.1774
1.3700;0.4145;-0.6850;0.5296
1.3800;0.4076;-0.6735;0.9492
1.3900;0.4010;-0.6616;1.0367
1.4000;0.3945;-0.6533;1.1654
1.4100;0.3879;-0.6430;1.7435
1.4200;0.3815;-0.6221;4.3136
1.4300;0.3754;-0.5881;7.0015
1.4400;0.3696;-0.4493;5.5467
1.4500;0.3645;-0.3957;-0.4272
1.4600;0.3655;-0.4817;-4.7857
1.4700;0.3558;-0.5813;-0.8719
1.4800;0.3494;-0.5509;6.5833
1.4900;0.3457;-0.3789;10.0930
1.5000;0.3425;-0.2892;8.4424
1.5100;0.3399;-0.2375;5.7990
1.5200;0.3378;-0.1858;5.1971
1.5300;0.3362;-0.1344;5.3719
1.5400;0.3351;-0.0804;5.7037
1.5500;0.3345;-0.0205;6.0586
1.5600;0.3346;0.0426;6.1792
1.5700;0.3354;0.1062;5.9993
1.5800;0.3367;0.1637;5.6625
1.5900;0.3388;0.2184;5.3215
