"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1"
0,000;0,25;
0,010;0,25;0,25
0,020;0,25;0,25
0,030;0,25;0,25
0,040;0,26;0,23
0,050;0,26;0,22
0,060;0,26;0,20
0,070;0,26;0,19
0,080;0,26;0,17
0,090;0,27;0,15
0,100;0,27;0,14
0,110;0,27;0,12
0,120;0,27;0,10
0,130;0,27;0,08
0,140;0,27;0,06
0,150;0,27;0,04
0,160;0,27;0,02
0,170;0,27;0,00
0,180;0,27;-0,02
0,190;0,27;-0,04
0,200;0,27;-0,06
0,210;0,27;-0,08
0,220;0,27;-0,10
0,230;0,27;-0,12
0,240;0,27;-0,14
0,250;0,27;-0,16
0,260;0,26;-0,17
0,270;0,26;-0,19
0,280;0,26;-0,20
0,290;0,26;-0,22
0,300;0,26;-0,23
0,310;0,25;-0,25
0,320;0,25;-0,26
0,330;0,25;-0,28
0,340;0,25;-0,29
0,350;0,24;-0,31
0,360;0,24;-0,32
0,370;0,24;-0,33
0,380;0,23;-0,34
0,390;0,23;-0,35
0,400;0,23;-0,36
0,410;0,22;-0,36
0,420;0,22;-0,37
0,430;0,22;-0,38
0,440;0,21;-0,38
0,450;0,21;-0,39
0,460;0,20;-0,38
0,470;0,20;-0,38
0,480;0,20;-0,38
0,490;0,19;-0,35
0,500;0,19;-0,31
0,510;0,19;-0,29
0,520;0,18;-0,33
0,530;0,18;-0,37
0,540;0,18;-0,38
0,550;0,17;-0,32
0,560;0,17;-0,25
0,570;0,17;-0,24
0,580;0,16;-0,29
0,590;0,16;-0,34
0,600;0,16;-0,33
0,610;0,15;-0,33
0,620;0,15;-0,36
0,630;0,15;-0,40
0,640;0,14;-0,45
0,650;0,14;-0,44
0,660;0,13;-0,36
0,670;0,13;-0,29
0,680;0,13;-0,23
0,690;0,13;-0,22
0,700;0,12;-0,19
0,710;0,12;-0,16
0,720;0,12;-0,11
0,730;0,12;-0,09
0,740;0,12;-0,07
0,750;0,12;-0,04
0,760;0,12;-0,03
0,770;0,12;-0,02
0,780;0,12;-0,04
0,790;0,12;-0,03
0,800;0,12;-0,01
0,810;0,12;0,01
0,820;0,12;0,03
0,830;0,12;0,01
0,840;0,12;0,00
0,850;0,12;0,03
0,860;0,12;0,07
0,870;0,12;0,09
0,880;0,12;0,09
0,890;0,12;0,11
0,900;0,12;0,16
0,910;0,12;0,15
0,920;0,13;0,18
0,930;0,13;0,23
0,940;0,13;0,28
0,950;0,13;0,34
0,960;0,14;0,37
0,970;0,14;0,44
0,980;0,14;0,45
0,990;0,15;0,42
1,000;0,15;0,38
1,010;0,16;0,34
1,020;0,16;0,34
1,030;0,16;0,29
1,040;0,17;0,24
1,050;0,17;0,24
1,060;0,17;0,31
1,070;0,18;0,37
1,080;0,18;0,38
1,090;0,18;0,38
1,100;0,19;0,38
1,110;0,19;0,33
1,120;0,19;0,29
1,130;0,20;0,29
1,140;0,20;0,33
1,150;0,20;0,37
1,160;0,21;0,36
1,170;0,21;0,36
1,180;0,21;0,37
1,190;0,22;0,36
